PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
73AAC,ANALYZER GAS MULTIPLE GASEOUS PHASE (ANESTHETIC CONC.),ANALYSEUR DE GAZ MULTIPLES (CONCENTRATION ANESTHESIQUE)
73BSK,CUFF TRACHEAL TUBE INFLATABLE,TUBE ENDOTRACHEAL A BALLONNET GONFLABLE
73BSN,FILTER CONDUCTION ANESTHESIC,FILTRE POUR ANESTHESIE DE CONDUCTION
73BTI,COMPRESSOR AIR PORTABLE,COMPRESSEUR D'AIR PORTATIF
73BTM,VENTILATOR EMERGENCY MANUAL (RESUSCITATOR),VENTILATEUR (RESSUSCITATEUR) D'URGENCE MANUEL
73BXM,STIMULATOR NERVE AC-POWERED,NEUROSTIMULATEUR A COURANT ALTERNATIF
73BXY,FLOWMETER CALIBRATION GAS,DEBITMETRE POUR ETALONNAGE GAZEUX
73BZK,SPIROMETER MONITORING (W/WO ALARM),SPIROMETRE DE SURVEILLANCE (AVEC/SANS ALARME)
73CAN,REGULATOR PRESSURE GAS,REGULATEUR DE PRESSION GAZEUSE
73CAW,GENERATOR OXYGEN PORTABLE,GENERATEUR D'OXYGENE PORTATIF
73CAX,FLOWMETERTUBETHORPEBACK-PRESSURE COMPENSATED,DEBITMETRE THORPE A CONTRE-PRESSION
73CBL,ABSORBENT CARBON-DIOXIDE,ABSORBANT DE DIOXYDE DE CARBONE
73CBN,APPARATUS GAS-SCAVENGING,APPAREIL DE RECUPERATION DES GAZ
73CBP,VALVE NON-REBREATHING,VALVE DE NON-REINHALATION
73CBR,ANALYZER GAS NITROUS-OXIDE GASEOUS PHASE (ANESTHETICCONC.),ANALYSEUR D'OXYDE DE DIAZOTE GAZEUX (CONCENTRATION ANESTHESIQUE)
73EFE,FLOWMETER ANESTHESIA,DEBITMETRE (ANESTHESIE)
73JEH,PLETHYSMOGRAPH VOLUME,PLETHYSMOGRAPHE A VOLUME
73KCK,ATOMIZER AND TIP ENT,ATOMISEUR ET EMBOUT ORL
73QAY,KITANESTHESIASPINAL,NECESSAIRE POUR ANESTHESIE SPINALE
73QAZ,KIT ANESTHESIA OTHER,NECESSAIRE POUR ANESTHESIE AUTRE
73QEL,CIRCUIT BREATHING VENTILATOR,VENTILATEUR DE CIRCUIT RESPIRATOIRE
73QME,COMPUTER PATIENT MONITOR,ORDINATEUR POUR MONITEUR PATIENT
73RYM,SYRINGE ANESTHESIA,SERINGUE D'ANESTHESIE
73SBI,BUTTON TRACHEOSTOMY TUBE,BOUTON POUR TUBE DE TRACHEOTOMIE
73SBU,HOLDER TRANSDUCER,SUPPORT POUR TRANSDUCTEUR
73SEO,VALVE POSITIVE END EXPIRATORY PRESSURE (PEEP),VALVE PRESSION POSITIVE EN FIN D'EXPIRATION
73VDU,SCOPE FIBEROPTIC INTUBATION,FIBROSCOPE D'INTUBATION
74AAJ,LEAD ANCHORING SLEEVE IMPLANTABLE,SONDE POUR MANCHON D'ANCRAGE IMPLANTABLE
74AAL,LEAD PACEMAKERIMPLANTABLEINDIFFERENT,SONDE POUR STIMULATEUR CARDIAQUE IMPLANTABLE INDIFFERENTE
74AAN,DEVICE COMPRESSON ANTIHEMATOMA,DISPOSITIF DE COMPRESSION ANTIHEMATOME
74AJU,VALVE HEMOSTATIC,VALVE HEMOSTATIQUE
74CAA,MONITOR BLOOD PRESSURE INDWELLING,TENSIOMETRE A DEMEURE
74DPW,FLOWMETER BLOOD CARDIOVASCULAR,DEBITMETRE SANGUIN CARDIOVASCULAIRE
74DQE,CATHETER OXIMETER FIBEROPTIC,CATHETER OXYMETRE A FIBRE OPTIQUE
74DRE,DILATOR VESSEL FOR PERCUTANEOUS CATHETERIZATION,DILATATEUR DE VAISSEAUX POUR CATHETERISME PERCUTANE
74DSI,DETECTOR AND ALARM ARRHYTHMIA,DETECTEUR D'ARYTHMIE AVEC ALARME
74DTM,FILTER BLOOD CARDIOPULMONARY BYPASS ARTERIAL LINE,FILTRE SANGUIN POUR CIRCUIT ARTERIEL DE RETOUR POUR DERIVATION CARDIOPULMONAIRE
74DTR,HEAT-EXCHANGER CARDIOPULMONARY BYPASS,ECHANGEUR DE CHALEUR POUR DERIVATION CARDIOPULMONAIRE
74DTZ,OXYGENATOR CARDIOPULMONARY BYPASS,OXYGENATEUR POUR DERIVATION CARDIOPULMONAIRE
74DWD,SUCTION CONTROL INTRACARDIAC CARDIOPULMONARY BYPASS,REGULATEUR D'ASPIRATION INTRACARDIAQUE POUR DERIVATION CARDIOPULMONAIRE
74DXH,TRANSMITTER AND RECEIVER ELECTROCARDIOGRAPH TELEPHONE,EMETTEUR-RECEPTEUR D'ELECTROCARDIOGRAPHE PAR LIGNE TELEPHONIQUE
74FIT,FLOWMETER BLOOD NON-INVASIVE ELECTROMAGNETIC OR DOPPLER,DEBITMETRE SANGUIN ELECTROMAGNETIQUE OU A EFFET DOPPLER NON EFFRACTIF
74FLQ,MONITORBLOOD-PRESSURENEONATALULTRASOUNIC/DOPPLER,MONITEUR DE PRESSION SANGUINE NEONATALE A ULTRASONS/EFFET DOPPLER
74JOI,PUMP AIR MANUAL CUFF INFLATING,POMPE MANUELLE POUR GONFLEMENT DE BRASSARD
74JOP,TRANSDUCER ULTRASONIC,TRANSDUCTEUR ULTRASONIQUE
