IDX,PATIENT_DEV_CD,DESC_E,DESC_F,CODE_TYPE_E,CODE_TYPE_F
0,1,E1501 - Abortion,E1501 - Avortement,Health Effect,Effet sur la santé
1,2,E150101 - Complete Induced Abortion,E150101 - Avortement provoqué complet,Health Effect,Effet sur la santé
2,4,E150103 - Induced Abortion,E150103 - Avortement provoqué,Health Effect,Effet sur la santé
3,6,E150105 - Spontaneous Abortion,E150105 - Avortement spontané,Health Effect,Effet sur la santé
4,7,E1003 - Achalasia,E1003 - Achalasie,Health Effect,Effet sur la santé
5,8,E0902 - Acoustic Trauma,E0902 - Traumatisme acoustique,Health Effect,Effet sur la santé
6,9,E2101 - Adhesion(s),E2101 - Adhérence(s),Health Effect,Effet sur la santé
7,10,E0701 - Adult Respiratory Distress Syndrome,E0701 - Syndrome de détresse respiratoire de l'adulte,Health Effect,Effet sur la santé
8,12,E0702 - Airway Obstruction,E0702 - Obstruction des voies aériennes,Health Effect,Effet sur la santé
9,13,E2301 - Alteration in Body Temperature,E2301 - Altération de la température corporelle,Health Effect,Effet sur la santé
10,14,E2302 - Ambulation or Postural Difficulties,E2302 - Difficultés de déambulation ou posturales,Health Effect,Effet sur la santé
11,16,E040202 - Anaphylactoid/Anaphylaxis,E040202 - Anaphylactoïde / anaphylaxie,Health Effect,Effet sur la santé
12,17,E2108 - Failure to Anastomose,E2108 - Défaut d'anastomose,Health Effect,Effet sur la santé
13,18,E0301 - Anemia,E0301 - Anémie,Health Effect,Effet sur la santé
14,19,"Anesthesia, insufficient, light or patchy (Retired - use 636)","Anesthésie, insuffisante, légère ou inégale (Retiré-utilise 636)",Health Effect,Effet sur la santé
15,20,E0501 - Aneurysm,E0501 - Anévrisme,Health Effect,Effet sur la santé
16,21,E061201 - Angina,E061201 - Angine de poitrine,Health Effect,Effet sur la santé
17,22,E020201 - Anxiety,E020201 - Anxiété,Health Effect,Effet sur la santé
18,23,Aortic Dissection (Retired - use 1132),Dissection aortique (Retiré-utilise 1132),Health Effect,Effet sur la santé
19,24,E1510 - Low Apgar Score,E1510 - Indice d'Apgar bas,Health Effect,Effet sur la santé
20,28,E0703 - Apnea,E0703 - Apnée,Health Effect,Effet sur la santé
21,29,E0132 - Spinal Arachnoiditis,E0132 - Arachnoïdite spinale,Health Effect,Effet sur la santé
22,30,E0601 - Arrhythmia,E0601 - Arythmie,Health Effect,Effet sur la santé
23,32,Atherosclerosis (Retired - use 1128),Athérosclérose (Retiré-utilise 1128),Health Effect,Effet sur la santé
24,33,E1004 - Ascites,E1004 - Ascite,Health Effect,Effet sur la santé
25,34,E0704 - Aspiration/Inhalation,E0704 - Aspiration/inhalation,Health Effect,Effet sur la santé
26,35,E0706 - Asthma,E0706 - Asthme,Health Effect,Effet sur la santé
27,36,E060102 - Atrial Fibrillation,E060102 - Fibrillation auriculaire,Health Effect,Effet sur la santé
28,37,E060103 - Atrial Flutter,E060103 - Flutter auriculaire,Health Effect,Effet sur la santé
29,38,Atrial Perforation (Retired - use 69),Perforation auriculaire (Retiré-utilise 69),Health Effect,Effet sur la santé
30,39,Atrial Tachycardia (Retired - use 575),Tachycardie auriculaire (Retiré-utilise 575),Health Effect,Effet sur la santé
31,40,E0401 - Autoimmune Disorder,E0401 - Maladie auto-immune,Health Effect,Effet sur la santé
32,42,Lupus (Retired - use 40),Lupus (Retiré-utilise 40),Health Effect,Effet sur la santé
33,43,Scleroderma (Retired - use 40),Sclérodermie (Retiré-utilise 40),Health Effect,Effet sur la santé
34,44,Sjogren's Syndrome (Retired - use 40),Syndrome de Sjögren (Retiré-utilise 40),Health Effect,Effet sur la santé
35,45,Autoimmune reaction (Retired - use 40),Réaction auto-immune (Retiré-utilise 40),Health Effect,Effet sur la santé
36,46,E1101 - Biliary Cirrhosis,E1101 - Cirrhose biliaire,Health Effect,Effet sur la santé
37,48,E2201 - Abnormal Blood Gases,E2201 - Gaz sanguins anormaux,Health Effect,Effet sur la santé
38,49,Blood loss (Retired - use 234),Perte de sang (Retiré-utilise 234),Health Effect,Effet sur la santé
39,50,E050602 - Exsanguination,E050602 - Exsanguination,Health Effect,Effet sur la santé
40,51,E083901 - Blurred Vision,E083901 - Vision floue,Health Effect,Effet sur la santé
41,52,E0823 - Halo,E0823 - Halo,Health Effect,Effet sur la santé
42,53,E060104 - Bradycardia,E060104 - Bradycardie,Health Effect,Effet sur la santé
43,54,E0102 - Brain Injury,E0102 - Lésion cérébrale,Health Effect,Effet sur la santé
44,55,E1513 - Perinatal Brain Injury,E1513 - Traumatisme crânien périnatal,Health Effect,Effet sur la santé
45,56,Tentorial Tears (Retired - use 55),Déchirures de la tente du cervelet (Retiré-utilise 55),Health Effect,Effet sur la santé
46,57,E1403 - Breast Mass,E1403 - Masse mammaire,Health Effect,Effet sur la santé
47,59,E0708 - Bronchitis,E0708 - Bronchite,Health Effect,Effet sur la santé
48,60,E0709 - Bronchospasm,E0709 - Bronchospasme,Health Effect,Effet sur la santé
49,61,E1705 - Burning Sensation,E1705 - Sensation de brûlure,Health Effect,Effet sur la santé
50,62,E1801 - Cancer,E1801 - Cancer,Health Effect,Effet sur la santé
51,63,E180101 - Breast Cancer,E180101 - Cancer du sein,Health Effect,Effet sur la santé
52,64,E180104 - Lymphoma,E180104 - Lymphome,Health Effect,Effet sur la santé
53,65,E180102 - Breast Implant Associated Anaplastic Large Cell Lymphoma (BIA ALCL),E180102 - Lymphome anaplasique à grandes cellules associé aux implants mammaires,Health Effect,Effet sur la santé
54,66,E0801 - Capsular Bag Tear,E0801 - Rupture du sac cristallinien,Health Effect,Effet sur la santé
55,67,E2303 - Capsular Contracture,E2303 - Contracture capsulaire,Health Effect,Effet sur la santé
56,68,E0602 - Cardiac Arrest,E0602 - Arrêt cardiaque,Health Effect,Effet sur la santé
57,69,E0604 - Cardiac Perforation,E0604 - Perforation cardiaque,Health Effect,Effet sur la santé
58,70,E0605 - Cardiac Tamponade,E0605 - Tamponnade cardiaque,Health Effect,Effet sur la santé
59,71,E0606 - Cardiomyopathy,E0606 - Cardiomyopathie,Health Effect,Effet sur la santé
60,72,Cardiopulmonary Arrest (Retired - use 68),Arrêt cardiopulmonaire (Retiré-utilise 68),Health Effect,Effet sur la santé
61,73,E0802 - Cataract,E0802 - Cataracte,Health Effect,Effet sur la santé
62,74,"Cataract, Induced (Retired - use 73)",Cataracte induite (Retiré-utilise 73),Health Effect,Effet sur la santé
63,75,E1503 - Cephalohematoma,E1503 - Céphalhématome,Health Effect,Effet sur la santé
64,76,E0106 - Cerebrospinal Fluid Leakage,E0106 - Fuite de liquide céphalorachidien,Health Effect,Effet sur la santé
65,77,E0133 - Stroke/CVA,E0133 - Accident vasculaire cérébral (AVC),Health Effect,Effet sur la santé
66,78,E1404 - Cervical Changes,E1404 - Changement du col utérin,Health Effect,Effet sur la santé
67,79,E2003 - Chemical Exposure,E2003 - Exposition aux produits chimiques,Health Effect,Effet sur la santé
68,80,Chest Tightness/Pressure (Retired - use 636),Serrement de poitrine/pression (Retiré-utilise 636),Health Effect,Effet sur la santé
69,81,E2304 - Chills,E2304 - Frissons,Health Effect,Effet sur la santé
70,83,E0711 - Chronic Obstructive Pulmonary Disease (COPD),E0711 - Maladie pulmonaire obstructive chronique (MPOC),Health Effect,Effet sur la santé
71,84,E071101 - Pulmonary Emphysema,E071101 - Emphysème pulmonaire,Health Effect,Effet sur la santé
72,85,Claudication (Retired - use 1188),Claudication - Boiterie (Retiré-utilise 1188),Health Effect,Effet sur la santé
73,86,Closed Capsulotomy (Retired - use 636),Capsulotomie fermée (Retiré-utilise 636),Health Effect,Effet sur la santé
74,87,"Clouding, Central Corneal (Retired - use 1151)",Opacification de la cornée centrale (Retiré-utilise 1151),Health Effect,Effet sur la santé
75,88,Coagulopathy (Retired - use 1125),Coagulopathie (Retiré-utilise 1125),Health Effect,Effet sur la santé
76,89,E030201 - Disseminated Intravascular Coagulation (DIC),E030201 - Coagulation intravasculaire disséminée (CIVD),Health Effect,Effet sur la santé
77,90,E0107 - Cognitive Changes,E0107 - Changements cognitifs,Health Effect,Effet sur la santé
78,91,Collapse (Retired - use 183),Effondrement (Retiré-utilise 183),Health Effect,Effet sur la santé
79,92,E011901 - Coma,E011901 - Coma,Health Effect,Effet sur la santé
80,93,"Complaint, Ill Defined (Retired - use 637)",Plainte mal définie (Retiré-utilise 637),Health Effect,Effet sur la santé
81,94,Complete Heart Block (Retired - use 1275),Bloc cardiaque complet (Retiré-utilise 1275),Health Effect,Effet sur la santé
82,95,E010701 - Confusion/Disorientation,E010701 - Confusion/désorientation,Health Effect,Effet sur la santé
83,96,E1505 - Congenital Defect/Deformity,E1505 - Anomalie/malformation congénitale,Health Effect,Effet sur la santé
84,98,E1512 - Neonatal Hearing Impairment,E1512 - Déficience auditive néonatale,Health Effect,Effet sur la santé
85,99,E151201 - Complete Neonatal Hearing Loss,E151201 - Perte auditive néonatale complète,Health Effect,Effet sur la santé
86,100,Congestive Heart Failure (Retired - use 1135),Insuffisance cardiaque congestive (Retiré-utilise 1135),Health Effect,Effet sur la santé
87,101,E0804 - Conjunctivitis,E0804 - Conjonctivite,Health Effect,Effet sur la santé
88,102,E1604 - Connective Tissue Disease,E1604 - Maladie du tissu conjonctif,Health Effect,Effet sur la santé
89,103,"E010901 - Convulsion, Clonic","E010901 - Convulsions, cloniques",Health Effect,Effet sur la santé
90,104,"E010902 - Convulsion, Tonic","E010902 - Convulsions, toniques",Health Effect,Effet sur la santé
91,105,E0811 - Corneal Perforation,E0811 - Perforation cornéenne,Health Effect,Effet sur la santé
92,106,E081901 - Corneal Abrasion,E081901 - Abrasion de la cornée,Health Effect,Effet sur la santé
93,107,E0806 - Corneal Decompensation,E0806 - Décompensation cornéenne,Health Effect,Effet sur la santé
94,108,Corneal Haze (Retired - use 1151),Opacité cornéenne (Retiré-utilise 1151),Health Effect,Effet sur la santé
95,109,E0809 - Corneal Infiltrates,E0809 - Infiltrats cornéens,Health Effect,Effet sur la santé
96,110,E0813 - Corneal Touch,E0813 - Toucher cornéen,Health Effect,Effet sur la santé
97,111,E0814 - Corneal Ulcer,E0814 - Ulcère cornéen,Health Effect,Effet sur la santé
98,112,Cramp(s) (Retired - use 1188),Crampe(s) (Retiré-utilise 1188),Health Effect,Effet sur la santé
99,113,E160501 - Abdominal Cramps,E160501 - Crampes abdominales,Health Effect,Effet sur la santé
100,114,E0608 - Cusp Tear,E0608 - Déchirure de la cuspide,Health Effect,Effet sur la santé
101,115,E2305 - Cyanosis,E2305 - Cyanose,Health Effect,Effet sur la santé
102,117,E1802 - Cyst(s),E1802 - Kystes,Health Effect,Effet sur la santé
103,119,E190701 - Cytomegalovirus (CMV) Infection,E190701 - Infection à cytomégalovirus (CMV),Health Effect,Effet sur la santé
104,120,F0201 - Intrauterine Fetal Death,F0201 - Mort foetale intra-utérine,Health Effect,Effet sur la santé
105,121,F02 - Death,F02 - Mort,Health Effect,Effet sur la santé
106,122,Sudden Cardiac Death (Retired - use 121),Arrêt cardiaque soudain (Retiré-utilise 121),Health Effect,Effet sur la santé
107,123,E2001 - Bone Shedding Debris,E2001 - Débris d'excrétion osseuse,Health Effect,Effet sur la santé
108,124,E2329 - Organ Dehiscence,E2329 - Déhiscence d'un organe,Health Effect,Effet sur la santé
