IDX,PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
0,73AAC,"ANALYZER, GAS, MULTIPLE, GASEOUS PHASE (ANESTHETIC CONC.)",ANALYSEUR DE GAZ MULTIPLES (CONCENTRATION ANESTHESIQUE)
1,73BSK,"CUFF, TRACHEAL TUBE, INFLATABLE",TUBE ENDOTRACHEAL A BALLONNET GONFLABLE
2,73BSN,"FILTER, CONDUCTION, ANESTHESIC",FILTRE POUR ANESTHESIE DE CONDUCTION
3,73BTI,"COMPRESSOR, AIR, PORTABLE",COMPRESSEUR D'AIR PORTATIF
4,73BTM,"VENTILATOR, EMERGENCY, MANUAL (RESUSCITATOR)","VENTILATEUR (RESSUSCITATEUR) D'URGENCE, MANUEL"
5,73BXM,"STIMULATOR, NERVE, AC-POWERED","NEUROSTIMULATEUR, A COURANT ALTERNATIF"
6,73BXY,"FLOWMETER, CALIBRATION, GAS",DEBITMETRE POUR ETALONNAGE GAZEUX
7,73BZK,"SPIROMETER, MONITORING (W/WO ALARM)",SPIROMETRE DE SURVEILLANCE (AVEC/SANS ALARME)
8,73CAN,"REGULATOR, PRESSURE, GAS",REGULATEUR DE PRESSION GAZEUSE
9,73CAW,"GENERATOR, OXYGEN, PORTABLE",GENERATEUR D'OXYGENE PORTATIF
10,73CAX,"FLOWMETER,TUBE,THORPE,BACK-PRESSURE COMPENSATED",DEBITMETRE THORPE A CONTRE-PRESSION
11,73CBL,"ABSORBENT, CARBON-DIOXIDE",ABSORBANT DE DIOXYDE DE CARBONE
12,73CBN,"APPARATUS, GAS-SCAVENGING",APPAREIL DE RECUPERATION DES GAZ
13,73CBP,"VALVE, NON-REBREATHING",VALVE DE NON-REINHALATION
14,73CBR,"ANALYZER, GAS, NITROUS-OXIDE, GASEOUS PHASE (ANESTHETICCONC.)",ANALYSEUR D'OXYDE DE DIAZOTE GAZEUX (CONCENTRATION ANESTHESIQUE)
15,73EFE,"FLOWMETER, ANESTHESIA",DEBITMETRE (ANESTHESIE)
16,73JEH,"PLETHYSMOGRAPH, VOLUME",PLETHYSMOGRAPHE A VOLUME
17,73KCK,"ATOMIZER AND TIP, ENT","ATOMISEUR ET EMBOUT, ORL"
18,73QAY,"KIT,ANESTHESIA,SPINAL",NECESSAIRE POUR ANESTHESIE SPINALE
19,73QAZ,"KIT, ANESTHESIA, OTHER","NECESSAIRE POUR ANESTHESIE, AUTRE"
20,73QEL,"CIRCUIT, BREATHING, VENTILATOR",VENTILATEUR DE CIRCUIT RESPIRATOIRE
21,73QME,"COMPUTER, PATIENT MONITOR",ORDINATEUR POUR MONITEUR PATIENT
22,73RYM,"SYRINGE, ANESTHESIA",SERINGUE D'ANESTHESIE
23,73SBI,"BUTTON, TRACHEOSTOMY TUBE",BOUTON POUR TUBE DE TRACHEOTOMIE
24,73SBU,"HOLDER, TRANSDUCER",SUPPORT POUR TRANSDUCTEUR
25,73SEO,"VALVE, POSITIVE END EXPIRATORY PRESSURE (PEEP)","VALVE, PRESSION POSITIVE EN FIN D'EXPIRATION"
26,73VDU,"SCOPE, FIBEROPTIC INTUBATION",FIBROSCOPE D'INTUBATION
27,74AAJ,"LEAD, ANCHORING SLEEVE, IMPLANTABLE",SONDE POUR MANCHON D'ANCRAGE IMPLANTABLE
28,74AAL,"LEAD, PACEMAKER,IMPLANTABLE,INDIFFERENT","SONDE POUR STIMULATEUR CARDIAQUE IMPLANTABLE, INDIFFERENTE"
29,74AAN,"DEVICE, COMPRESSON, ANTIHEMATOMA",DISPOSITIF DE COMPRESSION ANTIHEMATOME
30,74AJU,"VALVE, HEMOSTATIC",VALVE HEMOSTATIQUE
31,74CAA,"MONITOR, BLOOD PRESSURE, INDWELLING","TENSIOMETRE, A DEMEURE"
32,74DPW,"FLOWMETER, BLOOD, CARDIOVASCULAR","DEBITMETRE SANGUIN, CARDIOVASCULAIRE"
33,74DQE,"CATHETER, OXIMETER, FIBEROPTIC",CATHETER OXYMETRE A FIBRE OPTIQUE
34,74DRE,"DILATOR, VESSEL, FOR PERCUTANEOUS CATHETERIZATION","DILATATEUR DE VAISSEAUX, POUR CATHETERISME PERCUTANE"
35,74DSI,"DETECTOR AND ALARM, ARRHYTHMIA",DETECTEUR D'ARYTHMIE AVEC ALARME
36,74DTM,"FILTER, BLOOD, CARDIOPULMONARY BYPASS, ARTERIAL LINE","FILTRE SANGUIN POUR CIRCUIT ARTERIEL DE RETOUR, POUR DERIVATION CARDIOPULMONAIRE"
37,74DTR,"HEAT-EXCHANGER, CARDIOPULMONARY BYPASS","ECHANGEUR DE CHALEUR, POUR DERIVATION CARDIOPULMONAIRE"
38,74DTZ,"OXYGENATOR, CARDIOPULMONARY BYPASS","OXYGENATEUR, POUR DERIVATION CARDIOPULMONAIRE"
39,74DWD,"SUCTION CONTROL, INTRACARDIAC, CARDIOPULMONARY BYPASS","REGULATEUR D'ASPIRATION INTRACARDIAQUE, POUR DERIVATION CARDIOPULMONAIRE"
40,74DXH,"TRANSMITTER AND RECEIVER, ELECTROCARDIOGRAPH, TELEPHONE","EMETTEUR-RECEPTEUR D'ELECTROCARDIOGRAPHE, PAR LIGNE TELEPHONIQUE"
41,74FIT,"FLOWMETER, BLOOD, NON-INVASIVE ELECTROMAGNETIC OR DOPPLER","DEBITMETRE SANGUIN ELECTROMAGNETIQUE OU A EFFET DOPPLER, NON EFFRACTIF"
42,74FLQ,"MONITOR,BLOOD-PRESSURE,NEONATAL,ULTRASOUNIC/DOPPLER",MONITEUR DE PRESSION SANGUINE NEONATALE A ULTRASONS/EFFET DOPPLER
