"PATIENT_DEV_CD"|"DESC_E"|"DESC_F"|"CODE_TYPE_E"|"CODE_TYPE_F"
1|"E1501 - Abortion"|"E1501 - Avortement"|"Health Effect"|"Effet sur la santé"
2|"E150101 - Complete Induced Abortion"|"E150101 - Avortement provoqué complet"|"Health Effect"|"Effet sur la santé"
4|"E150103 - Induced Abortion"|"E150103 - Avortement provoqué"|"Health Effect"|"Effet sur la santé"
6|"E150105 - Spontaneous Abortion"|"E150105 - Avortement spontané"|"Health Effect"|"Effet sur la santé"
7|"E1003 - Achalasia"|"E1003 - Achalasie"|"Health Effect"|"Effet sur la santé"
8|"E0902 - Acoustic Trauma"|"E0902 - Traumatisme acoustique"|"Health Effect"|"Effet sur la santé"
9|"E2101 - Adhesion(s)"|"E2101 - Adhérence(s)"|"Health Effect"|"Effet sur la santé"
10|"E0701 - Adult Respiratory Distress Syndrome"|"E0701 - Syndrome de détresse respiratoire de l'adulte"|"Health Effect"|"Effet sur la santé"
12|"E0702 - Airway Obstruction"|"E0702 - Obstruction des voies aériennes"|"Health Effect"|"Effet sur la santé"
13|"E2301 - Alteration in Body Temperature"|"E2301 - Altération de la température corporelle"|"Health Effect"|"Effet sur la santé"
14|"E2302 - Ambulation or Postural Difficulties"|"E2302 - Difficultés de déambulation ou posturales"|"Health Effect"|"Effet sur la santé"
16|"E040202 - Anaphylactoid/Anaphylaxis"|"E040202 - Anaphylactoïde / anaphylaxie"|"Health Effect"|"Effet sur la santé"
17|"E2108 - Failure to Anastomose"|"E2108 - Défaut d'anastomose"|"Health Effect"|"Effet sur la santé"
18|"E0301 - Anemia"|"E0301 - Anémie"|"Health Effect"|"Effet sur la santé"
19|"Anesthesia, insufficient, light or patchy (Retired - use 636)"|"Anesthésie, insuffisante, légère ou inégale (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
20|"E0501 - Aneurysm"|"E0501 - Anévrisme"|"Health Effect"|"Effet sur la santé"
21|"E061201 - Angina"|"E061201 - Angine de poitrine"|"Health Effect"|"Effet sur la santé"
22|"E020201 - Anxiety"|"E020201 - Anxiété"|"Health Effect"|"Effet sur la santé"
23|"Aortic Dissection (Retired - use 1132)"|"Dissection aortique (Retiré-utilise 1132)"|"Health Effect"|"Effet sur la santé"
24|"E1510 - Low Apgar Score"|"E1510 - Indice d'Apgar bas"|"Health Effect"|"Effet sur la santé"
28|"E0703 - Apnea"|"E0703 - Apnée"|"Health Effect"|"Effet sur la santé"
29|"E0132 - Spinal Arachnoiditis"|"E0132 - Arachnoïdite spinale"|"Health Effect"|"Effet sur la santé"
30|"E0601 - Arrhythmia"|"E0601 - Arythmie"|"Health Effect"|"Effet sur la santé"
32|"Atherosclerosis (Retired - use 1128)"|"Athérosclérose (Retiré-utilise 1128)"|"Health Effect"|"Effet sur la santé"
33|"E1004 - Ascites"|"E1004 - Ascite"|"Health Effect"|"Effet sur la santé"
34|"E0704 - Aspiration/Inhalation"|"E0704 - Aspiration/inhalation"|"Health Effect"|"Effet sur la santé"
35|"E0706 - Asthma"|"E0706 - Asthme"|"Health Effect"|"Effet sur la santé"
36|"E060102 - Atrial Fibrillation"|"E060102 - Fibrillation auriculaire"|"Health Effect"|"Effet sur la santé"
37|"E060103 - Atrial Flutter"|"E060103 - Flutter auriculaire"|"Health Effect"|"Effet sur la santé"
38|"Atrial Perforation (Retired - use 69)"|"Perforation auriculaire (Retiré-utilise 69)"|"Health Effect"|"Effet sur la santé"
39|"Atrial Tachycardia (Retired - use 575)"|"Tachycardie auriculaire (Retiré-utilise 575)"|"Health Effect"|"Effet sur la santé"
40|"E0401 - Autoimmune Disorder"|"E0401 - Maladie auto-immune"|"Health Effect"|"Effet sur la santé"
42|"Lupus (Retired - use 40)"|"Lupus (Retiré-utilise 40)"|"Health Effect"|"Effet sur la santé"
43|"Scleroderma (Retired - use 40)"|"Sclérodermie (Retiré-utilise 40)"|"Health Effect"|"Effet sur la santé"
44|"Sjogren's Syndrome (Retired - use 40)"|"Syndrome de Sjögren (Retiré-utilise 40)"|"Health Effect"|"Effet sur la santé"
45|"Autoimmune reaction (Retired - use 40)"|"Réaction auto-immune (Retiré-utilise 40)"|"Health Effect"|"Effet sur la santé"
46|"E1101 - Biliary Cirrhosis"|"E1101 - Cirrhose biliaire"|"Health Effect"|"Effet sur la santé"
48|"E2201 - Abnormal Blood Gases"|"E2201 - Gaz sanguins anormaux"|"Health Effect"|"Effet sur la santé"
49|"Blood loss (Retired - use 234)"|"Perte de sang (Retiré-utilise 234)"|"Health Effect"|"Effet sur la santé"
50|"E050602 - Exsanguination"|"E050602 - Exsanguination"|"Health Effect"|"Effet sur la santé"
51|"E083901 - Blurred Vision"|"E083901 - Vision floue"|"Health Effect"|"Effet sur la santé"
52|"E0823 - Halo"|"E0823 - Halo"|"Health Effect"|"Effet sur la santé"
53|"E060104 - Bradycardia"|"E060104 - Bradycardie"|"Health Effect"|"Effet sur la santé"
54|"E0102 - Brain Injury"|"E0102 - Lésion cérébrale"|"Health Effect"|"Effet sur la santé"
55|"E1513 - Perinatal Brain Injury"|"E1513 - Traumatisme crânien périnatal"|"Health Effect"|"Effet sur la santé"
56|"Tentorial Tears (Retired - use 55)"|"Déchirures de la tente du cervelet (Retiré-utilise 55)"|"Health Effect"|"Effet sur la santé"
